"INSEE_COM","Fibre_it","annee"
"01146",1,2020
"01146",1,2021
"01146",1,2022
"01146",1,2023
"01146",1,2024
"01147",1,2018
"01147",1,2019
"01147",1,2020
"01147",1,2021
"01147",1,2022
"01147",1,2023
"01147",1,2024
"01148",0,2018
"01148",0,2019
"01148",0,2020
"01148",0,2021
"01148",1,2022
"01148",1,2023
"01148",1,2024
"01149",0,2018
"01149",0,2019
"01149",0,2020
"01149",0,2021
"01149",0,2022
"01149",1,2023
"01149",1,2024
"01150",1,2018
"01150",1,2019
"01150",1,2020
"01150",1,2021
"01150",1,2022
"01150",1,2023
"01150",1,2024
"01151",1,2018
"01151",1,2019
"01151",1,2020
"01151",1,2021
"01151",1,2022
"01151",1,2023
"01151",1,2024
"01152",0,2018
"01152",0,2019
"01152",1,2020
"01152",1,2021
"01152",1,2022
"01152",1,2023
"01152",1,2024
"01153",1,2018
"01153",1,2019
"01153",1,2020
"01153",1,2021
"01153",1,2022
"01153",1,2023
"01153",1,2024
"01154",0,2018
"01154",0,2019
"01154",0,2020
"01155",1,2018
"01155",1,2019
"01155",1,2020
"01155",1,2021
"01155",1,2022
"01155",1,2023
"01155",1,2024
"01156",1,2018
"01156",1,2019
"01156",1,2020
"01156",1,2021
"01156",1,2022
"01156",1,2023
"01156",1,2024
"01157",0,2018
"01157",0,2019
"01157",0,2020
"01157",0,2021
"01157",0,2022
"01157",0,2023
"01157",0,2024
"01158",0,2018
"01158",0,2019
"01158",0,2020
"01158",0,2021
"01158",0,2022
"01158",0,2023
"01158",0,2024
"01159",0,2018
"01159",0,2019
"01159",0,2020
"01159",0,2021
"01159",1,2022
"01159",1,2023
"01159",1,2024
"01160",0,2018
"01160",0,2019
"01160",0,2020
"01160",0,2021
"01160",0,2022
"01160",0,2023
"01160",0,2024
"01162",1,2018
"01162",1,2019
"01162",1,2020
"01162",1,2021
"01162",1,2022
"01162",1,2023
"01162",1,2024
"01163",0,2018
"01163",0,2019
"01163",0,2020
"01163",0,2021
"01163",0,2022
"01163",0,2023
"01163",1,2024
"01165",1,2018
"01165",1,2019
"01165",1,2020
"01165",1,2021
"01165",1,2022
"01165",1,2023
"01165",1,2024
"01166",0,2018
"01166",0,2019
"01166",0,2020
"01166",0,2021
"01166",0,2022
"01166",0,2023
"01166",1,2024
"01167",1,2018
"01167",1,2019
"01167",1,2020
"01167",1,2021
"01167",1,2022
"01167",1,2023
"01167",1,2024
"01169",1,2018
"01169",1,2019
"01169",1,2020
"01169",1,2021
"01169",1,2022
"01169",1,2023
"01169",1,2024
"01170",1,2018
"01170",1,2019
"01170",1,2020
"01170",1,2021
"01170",1,2022
"01170",1,2023
"01170",1,2024
"01171",0,2018
"01171",0,2019
"01171",0,2020
"01171",0,2021
"01171",0,2022
"01171",1,2023
"01171",1,2024
"01173",1,2018
"01173",1,2019
"01173",1,2020
"01173",1,2021
"01173",1,2022
"01173",1,2023
"01173",1,2024
"01174",1,2018
"01174",1,2019
"01174",1,2020
"01174",1,2021
"01174",1,2022
"01174",1,2023
"01174",1,2024
"01175",0,2018
"01175",0,2019
"01175",0,2020
"01175",0,2021
"01175",0,2022
"01175",0,2023
"01175",0,2024
"01177",0,2018
"01177",0,2019
"01177",0,2020
"01177",0,2021
"01177",0,2022
"01177",1,2023
"01177",1,2024
"01179",1,2018
"01179",1,2019
"01179",1,2020
"01179",1,2021
"01179",1,2022
"01179",1,2023
"01179",1,2024
"01180",0,2018
"01180",0,2019
"01180",0,2020
"01180",0,2021
"01180",0,2022
"01180",0,2023
"01180",0,2024
"01181",0,2018
"01181",1,2019
"01181",1,2020
"01181",1,2021
"01181",1,2022
"01181",1,2023
"01181",1,2024
"01183",0,2018
"01183",0,2019
"01183",0,2020
"01183",0,2021
"01183",0,2022
"01183",0,2023
