INSEE_COM,LIBGEO,DENS,LIBDENS,PMUN21,P1,P2,P3,P4,P5,P6,P7,zone_type
38495,La Sône,6,Rural à habitat dispersé,593,0.0,0.0,0.0,0.0,0.0,93.36,6.64,Rural
38496,Sonnay,6,Rural à habitat dispersé,1276,0.0,0.0,0.0,0.0,0.0,96.32,3.68,Rural
38497,Sousville,6,Rural à habitat dispersé,145,0.0,0.0,5.56,0.0,0.0,47.92,46.53,Rural
38498,Succieu,6,Rural à habitat dispersé,761,0.0,0.0,0.0,0.0,0.0,89.59,10.41,Rural
38499,Susville,3,Petites villes,1162,0.0,0.0,84.14,0.0,0.0,15.26,0.61,Mixte
38500,Têche,6,Rural à habitat dispersé,591,0.0,0.0,0.0,0.0,0.0,92.59,7.41,Rural
38501,Tencin,5,Bourgs ruraux,2140,0.0,0.0,0.0,0.0,86.57,10.39,3.04,Rural
38503,La Terrasse,4,Ceintures urbaines,2481,0.0,0.0,0.0,68.93,0.0,30.91,0.15,Urbain
38504,Theys,6,Rural à habitat dispersé,2006,0.0,0.0,0.0,0.0,26.29,69.59,4.12,Rural
38505,Thodure,6,Rural à habitat dispersé,790,0.0,0.0,0.0,0.0,0.0,79.05,20.95,Rural
38507,Tignieu-Jameyzieu,4,Ceintures urbaines,7815,0.0,21.72,0.0,72.41,0.0,5.29,0.57,Urbain
38508,Torchefelon,6,Rural à habitat dispersé,822,0.0,0.0,0.0,0.0,0.0,93.95,6.05,Rural
38509,La Tour-du-Pin,2,Centres urbains intermédiaires,8138,0.0,71.49,0.0,25.9,0.0,2.61,0.0,Urbain
38511,Le Touvet,5,Bourgs ruraux,3076,0.0,0.0,0.0,10.5,63.7,24.36,1.44,Rural
38512,Tramolé,6,Rural à habitat dispersé,794,0.0,0.0,0.0,0.0,0.0,97.68,2.32,Rural
38513,Treffort,6,Rural à habitat dispersé,272,0.0,0.0,0.0,0.0,0.0,50.19,49.81,Rural
38514,Tréminis,7,Rural à habitat très dispersé,193,0.0,0.0,0.0,0.0,0.0,32.29,67.71,Rural
38515,Trept,5,Bourgs ruraux,2135,0.0,0.0,0.0,0.0,53.02,43.03,3.95,Rural
38516,La Tronche,1,Grands centres urbains,6470,90.61,0.0,0.0,8.31,0.0,1.07,0.02,Inconnu
38517,Tullins,3,Petites villes,7706,0.0,0.0,80.99,0.0,0.0,14.35,4.66,Mixte
38518,Valbonnais,6,Rural à habitat dispersé,514,0.0,0.0,0.0,0.0,0.0,89.68,10.32,Rural
38519,Valencin,5,Bourgs ruraux,2891,0.0,0.0,0.0,0.0,72.08,27.12,0.8,Rural
38520,Valencogne,6,Rural à habitat dispersé,687,0.0,0.0,0.0,0.0,0.0,90.77,9.23,Rural
38521,La Valette,6,Rural à habitat dispersé,62,0.0,0.0,0.0,0.0,0.0,79.86,20.14,Rural
38522,Valjouffrey,7,Rural à habitat très dispersé,155,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38523,Varacieux,6,Rural à habitat dispersé,845,0.0,0.0,0.0,0.0,0.0,78.6,21.4,Rural
38524,Varces-Allières-et-Risset,4,Ceintures urbaines,8287,0.0,0.0,0.0,85.83,0.0,13.62,0.55,Urbain
38525,Vasselin,6,Rural à habitat dispersé,462,0.0,0.0,0.0,0.0,5.41,94.59,0.0,Rural
38526,Vatilieu,6,Rural à habitat dispersé,361,0.0,0.0,0.0,0.0,0.0,77.35,22.65,Rural
38527,Vaujany,6,Rural à habitat dispersé,348,0.0,0.0,0.0,0.0,0.0,74.59,25.41,Rural
38528,Vaulnaveys-le-Bas,6,Rural à habitat dispersé,1360,0.0,0.0,39.68,0.0,0.0,55.16,5.16,Rural
38529,Vaulnaveys-le-Haut,3,Petites villes,4000,0.0,0.0,84.18,0.0,0.0,15.29,0.53,Mixte
38530,Vaulx-Milieu,4,Ceintures urbaines,2505,0.0,26.07,0.0,68.06,0.0,4.6,1.27,Urbain
38531,Velanne,6,Rural à habitat dispersé,563,0.0,0.0,0.0,0.0,0.0,84.09,15.91,Rural
38532,Vénérieu,6,Rural à habitat dispersé,983,0.0,0.0,0.0,0.0,0.0,98.11,1.89,Rural
38533,Venon,4,Ceintures urbaines,801,0.26,0.0,0.0,62.19,0.0,31.58,5.97,Urbain
38535,Vernas,6,Rural à habitat dispersé,265,0.0,0.0,0.0,0.0,0.0,97.53,2.47,Rural
38536,Vernioz,5,Bourgs ruraux,1469,0.0,0.0,0.0,0.0,49.14,43.52,7.34,Rural
38537,La Verpillière,4,Ceintures urbaines,7500,0.0,39.14,0.0,60.51,0.0,0.0,0.34,Urbain
38538,Le Versoud,4,Ceintures urbaines,4973,0.0,0.0,0.0,98.12,0.0,1.7,0.19,Urbain
38539,Vertrieu,3,Petites villes,602,0.0,0.0,65.36,0.0,0.0,34.01,0.63,Mixte
38540,Veurey-Voroize,5,Bourgs ruraux,1401,0.0,0.0,0.0,0.0,62.1,33.49,4.41,Rural
38542,Veyssilieu,6,Rural à habitat dispersé,326,0.0,0.0,0.0,0.0,0.0,88.36,11.64,Rural
38543,Vézeronce-Curtin,6,Rural à habitat dispersé,2193,0.0,0.0,0.0,0.0,13.92,85.9,0.18,Rural
38544,Vienne,2,Centres urbains intermédiaires,31051,0.0,60.5,0.0,37.69,0.0,1.75,0.06,Urbain
38545,Vif,3,Petites villes,8584,0.0,0.0,90.46,0.0,0.0,7.61,1.93,Mixte
38546,Vignieu,6,Rural à habitat dispersé,946,0.0,0.0,0.0,0.0,0.0,99.28,0.72,Rural
38547,Villard-Bonnot,4,Ceintures urbaines,7331,0.0,0.0,0.0,96.88,0.0,2.68,0.44,Urbain
38548,Villard-de-Lans,5,Bourgs ruraux,4322,0.0,0.0,0.0,0.0,68.82,26.42,4.75,Rural
38549,Villard-Notre-Dame,7,Rural à habitat très dispersé,28,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38550,Villard-Reculas,7,Rural à habitat très dispersé,65,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38551,Villard-Reymond,7,Rural à habitat très dispersé,41,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38552,Villard-Saint-Christophe,6,Rural à habitat dispersé,400,0.0,0.0,0.0,0.0,0.0,95.1,4.9,Rural
38553,Villefontaine,2,Centres urbains intermédiaires,19083,0.0,92.57,0.0,6.59,0.0,0.84,0.0,Urbain
38554,Villemoirieu,5,Bourgs ruraux,1856,0.0,0.0,0.0,0.0,69.08,28.84,2.08,Rural
38555,Villeneuve-de-Marc,6,Rural à habitat dispersé,1161,0.0,0.0,0.0,0.0,0.0,75.95,24.05,Rural
38556,Ville-sous-Anjou,6,Rural à habitat dispersé,1190,0.0,0.0,0.0,0.25,3.42,74.29,22.04,Rural
38557,Villette-d'Anthon,5,Bourgs ruraux,5212,0.0,0.0,0.0,0.0,91.41,7.79,0.8,Rural
38558,Villette-de-Vienne,5,Bourgs ruraux,1934,0.0,0.0,0.0,0.0,56.09,39.37,4.54,Rural
38559,Vinay,5,Bourgs ruraux,4435,0.0,0.0,0.0,0.0,80.12,15.03,4.85,Rural
38560,Val-de-Virieu,5,Bourgs ruraux,1535,0.0,0.0,0.0,0.0,60.21,26.51,13.29,Rural
38561,Viriville,6,Rural à habitat dispersé,1706,0.0,0.0,0.0,0.0,31.58,53.35,15.08,Rural
38562,Vizille,2,Centres urbains intermédiaires,7293,0.0,67.74,0.0,25.78,0.0,6.33,0.15,Urbain
38563,Voiron,2,Centres urbains intermédiaires,20891,0.0,78.74,0.0,15.12,0.02,6.11,0.01,Urbain
38564,Voissant,6,Rural à habitat dispersé,236,0.0,0.0,0.0,0.0,0.0,99.12,0.88,Rural
