INSEE_COM,annee,nb_chomeurs
76302,2018,215
76303,2018,35
76304,2018,25
76305,2018,1200
76316,2018,20
76318,2018,50
76322,2018,2770
76329,2018,260
76332,2018,30
76338,2018,20
76340,2018,40
76342,2018,60
76350,2018,35
76353,2018,10
76356,2018,15
76359,2018,10
76365,2018,15
76366,2018,430
76369,2018,30
76371,2018,10
76372,2018,30
76373,2018,20
76374,2018,100
76377,2018,140
76382,2018,80
76383,2018,5
76389,2018,10
76394,2018,45
76395,2018,35
76402,2018,530
76403,2018,15
76404,2018,75
76407,2018,25
76409,2018,55
76415,2018,20
76417,2018,20
76427,2018,55
76429,2018,460
76431,2018,5
76436,2018,45
76437,2018,45
76439,2018,30
76440,2018,5
76448,2018,75
76455,2018,20
76456,2018,65
76458,2018,10
76459,2018,10
76462,2018,390
76467,2018,105
76472,2018,55
76474,2018,710
76476,2018,975
76477,2018,30
76478,2018,15
76479,2018,10
76486,2018,80
76488,2018,45
76490,2018,100
76501,2018,5
76506,2018,35
76507,2018,55
76513,2018,35
76514,2018,45
76517,2018,155
76519,2018,5
76523,2018,15
76526,2018,15
76529,2018,20
76532,2018,45
76534,2018,70
76535,2018,35
76536,2018,70
76540,2018,12640
76544,2018,10
76545,2018,150
76551,2018,45
76555,2018,45
76557,2018,115
76558,2018,60
76560,2018,65
76564,2018,10
76571,2018,45
76575,2018,3445
76577,2018,40
76581,2018,20
76582,2018,20
76583,2018,15
76584,2018,15
76587,2018,50
76592,2018,60
76597,2018,75
76598,2018,40
76600,2018,125
76602,2018,50
76606,2018,10
76609,2018,15
76611,2018,20
76613,2018,50
76617,2018,65
76621,2018,75
76622,2018,20
76624,2018,355
76627,2018,105
76628,2018,65
76629,2018,15
76630,2018,20
76634,2018,45
76649,2018,45
76650,2018,65
76652,2018,70
76654,2018,30
76658,2018,45
76663,2018,65
76664,2018,10
76665,2018,35
76670,2018,65
76671,2018,25
76673,2018,55
76683,2018,30
76684,2018,100
76686,2018,35
76690,2018,40
76695,2018,20
76698,2018,40
76699,2018,35
76703,2018,20
76706,2018,50
76710,2018,5
76718,2018,75
76719,2018,85
76721,2018,15
76724,2018,5
76726,2018,20
76730,2018,10
76732,2018,20
76741,2018,25
76745,2018,15
76748,2018,40
76749,2018,25
76750,2018,90
76752,2018,220
76754,2018,80
76755,2018,45
76757,2018,50
77005,2018,150
77008,2018,75
77010,2018,50
77019,2018,20
77022,2018,75
77025,2018,60
77026,2018,30
77030,2018,55
77033,2018,15
77034,2018,35
77043,2018,40
77049,2018,45
77052,2018,15
77055,2018,325
77061,2018,150
77066,2018,20
77067,2018,595
77072,2018,45
77078,2018,75
77081,2018,45
77082,2018,25
55069,2018,20
55072,2018,5
55073,2018,20
55084,2018,10
55094,2018,40
55096,2018,10
55101,2018,15
55103,2018,5
55115,2018,0
55119,2018,15
55121,2018,5
55122,2018,680
55124,2018,25
55129,2018,5
55132,2018,130
55134,2018,10
55137,2018,0
55138,2018,0
55150,2018,35
55154,2018,100
55156,2018,5
55160,2018,5
55171,2018,15
55172,2018,10
55173,2018,0
55177,2018,5
55178,2018,15
55184,2018,140
55186,2018,100
55191,2018,10
55199,2018,5
55200,2018,15
55208,2018,5
55212,2018,10
55218,2018,0
55221,2018,15
55225,2018,5
55228,2018,40
55229,2018,20
55232,2018,10
55236,2018,50
55237,2018,20
55244,2018,15
55246,2018,15
55251,2018,10
55253,2018,65
55255,2018,25
