"INSEE_COM","annee","nb_chomeurs"
"02159",2017,30
"02160",2016,50
"02160",2017,55
"02162",2016,20
"02162",2017,20
"02163",2016,265
"02163",2017,245
"02164",2016,30
"02164",2017,30
"02165",2016,135
"02165",2017,150
"02166",2016,25
"02166",2017,20
"02167",2016,75
"02167",2017,80
"02168",2016,2040
"02168",2017,2130
"02169",2016,5
"02169",2017,0
"02170",2016,10
"02170",2017,10
"02171",2016,5
"02171",2017,0
"02172",2016,20
"02172",2017,25
"02173",2016,1485
"02173",2017,1535
"02174",2016,65
"02174",2017,70
"02175",2016,10
"02175",2017,5
"02176",2016,15
"02176",2017,15
"02177",2016,10
"02177",2017,10
"02178",2016,10
"02178",2017,10
"02179",2016,25
"02179",2017,35
"02180",2016,70
"02180",2017,75
"02181",2016,10
"02181",2017,10
"02182",2016,10
"02182",2017,10
"02183",2016,20
"02183",2017,15
"02184",2016,35
"02184",2017,45
"02185",2016,20
"02185",2017,30
"02186",2016,110
"02186",2017,120
"02187",2016,80
"02187",2017,85
"02188",2016,10
"02188",2017,10
"02189",2016,45
"02189",2017,45
"02190",2016,45
"02190",2017,45
"02191",2016,45
"02191",2017,45
"02192",2016,35
"02192",2017,35
"02193",2016,0
"02193",2017,5
"02194",2016,15
"02194",2017,10
"02195",2016,60
"02195",2017,65
"02196",2016,15
"02196",2017,20
"02197",2016,30
"02197",2017,25
"02198",2016,15
"02198",2017,15
"02199",2016,50
"02199",2017,50
"02200",2016,15
"02200",2017,10
"02201",2016,30
"02201",2017,25
"02203",2016,130
"02203",2017,130
"02204",2016,0
"02204",2017,5
"02205",2016,25
"02205",2017,25
"02206",2016,10
"02206",2017,10
"02207",2016,10
"02207",2017,10
"02208",2016,20
"02208",2017,25
"02209",2016,60
"02209",2017,65
"02210",2016,20
"02210",2017,25
"02211",2016,20
"02211",2017,25
"02212",2016,60
"02212",2017,65
"02213",2016,40
"02213",2017,35
"02214",2016,5
"02214",2017,5
"02215",2016,55
"02215",2017,65
"02216",2016,35
"02216",2017,35
"02217",2016,85
"02217",2017,90
"02218",2016,55
